m,n,instance_number,gap
100,100,1,0.19335612687768536
100,100,2,0.5306707257335825
100,100,3,0.15810272056851332
100,100,4,0.16029269255794734
100,100,5,0.20494928018394265
100,100,6,0.21129333053569355
100,100,7,0.37009644692354726
100,100,8,0.2080064552965612
100,100,9,0.1518292990149404
100,100,10,0.4464839148646587
300,300,1,0.40779644012187927
300,300,2,0.5109625771140117
300,300,3,0.28506730560461485
300,300,4,0.27924861556754244
300,300,5,0.4534976886208511
300,300,6,0.2364550264745653
300,300,7,0.3424379476186715
300,300,8,0.2352344351769922
300,300,9,0.40541555821699515
300,300,10,0.21014799232304696
1000,1000,1,0.7056639577063816
1000,1000,2,0.6279441463457487
1000,1000,3,0.3890264801365127
1000,1000,4,0.39067646977340736
1000,1000,5,0.44775125814984945
1000,1000,6,0.1507637651740049
1000,1000,7,0.372103324954872
1000,1000,8,0.29347371682808104
1000,1000,9,0.5807007618138834
1000,1000,10,0.6208853134261824
3000,3000,1,0.3532048094996554
3000,3000,2,0.9261082533942356
3000,3000,3,0.6696113226731704
3000,3000,4,0.03199831604636422
3000,3000,5,0.14230315284702225
3000,3000,6,0.12035361211070904
3000,3000,7,0.662596847179151
3000,3000,8,0.011523978954230159
3000,3000,9,0.04935596519728923
3000,3000,10,0.13151765421114708
10000,10000,1,0.019568575023419563
10000,10000,2,0.009024681990610744
10000,10000,3,0.03223376635006499
10000,10000,4,0.009679062928548449
10000,10000,5,0.12038871520120956
10000,10000,6,0.2773938232253097
10000,10000,7,0.09867770074455152
10000,10000,8,0.33766702349921995
10000,10000,9,0.401866520484777
10000,10000,10,0.46002231814161504
