m,n,instance_number,primal_infeasibility,time_full
100,100,1,1.2569561042936536e-05,0.333353042602539
100,100,2,7.273262326808194e-06,0.4347720146179199
100,100,3,1.1295889259162542e-05,0.4400970935821533
100,100,4,1.365597797590122e-05,0.4672269821166992
100,100,5,5.337688930826673e-06,0.414776086807251
100,100,6,8.726969195297501e-06,0.4333078861236572
100,100,7,1.108025895823518e-05,0.4096968173980713
100,100,8,1.264305054415188e-05,0.3347141742706299
100,100,9,8.410597539146997e-06,0.3968701362609863
100,100,10,1.2323201834424022e-05,0.387880802154541
300,300,1,1.466813687342472e-05,5.3447630405426025
300,300,2,1.648378481967352e-05,4.905362129211426
300,300,3,1.2985889050190751e-05,5.835669040679932
300,300,4,2.5231086990812248e-05,5.230884075164795
300,300,5,1.5968778761441937e-05,4.882430076599121
300,300,6,2.1623064322305423e-05,5.611491918563843
300,300,7,1.602984020136972e-05,5.895186185836792
300,300,8,1.571750516559875e-05,7.905193090438843
300,300,9,1.4528242282131188e-05,5.515279054641724
300,300,10,2.0459056131412037e-05,5.9344470500946045
1000,1000,1,1.6715098774358747e-05,265.70245599746704
1000,1000,2,5.165939700454427e-05,277.27192902565
1000,1000,3,1.0339430462177022e-05,235.25825810432437
1000,1000,4,1.2117641113037298e-05,413.8739750385285
1000,1000,5,0.0001479014431533,532.4489049911499
1000,1000,6,0.0008758341787441,398.1554880142212
1000,1000,7,4.248160588332455e-05,295.2588238716125
1000,1000,8,0.001,336.4369468688965
1000,1000,9,0.000167831796371,317.73230600357056
1000,1000,10,3.0633222061467484e-05,334.4448039531708
