m,n,instance_number,primal_infeasibility,time_full
10,10,1,3.694961003830599e-16,6.727873802185059
10,10,2,1.4235779077558734e-05,1.7201430797576904
10,10,3,0.0001677534114617,1.8848719596862795
10,10,4,3.249797032262112e-07,4.720607042312622
10,10,5,7.221116717202056e-05,1.193302869796753
10,10,6,7.155518667911452e-05,5.125990867614746
10,10,7,8.65607216868494e-05,1.2960388660430908
10,10,8,6.548093965146363e-05,1.8096168041229248
10,10,9,0.0001704572061124,0.8125247955322266
10,10,10,4.45464267187657e-05,2.441017866134644
17,17,1,1.9804434108465195e-06,72.25319480895996
17,17,2,0.0001000882941675,42.94369411468506
17,17,3,7.971770706849776e-05,72.35375499725342
17,17,4,9.274871486695128e-05,58.64579391479492
17,17,5,6.767312354253602e-05,84.91253590583801
17,17,6,2.071083000679086e-05,118.82751607894896
17,17,7,1.748227516375732e-07,112.15927600860596
17,17,8,0.0001169984787357,54.11081099510193
17,17,9,0.0001411992667772,38.50106120109558
17,17,10,0.0001306121553541,47.4409019947052
32,32,1,1.2963551795671797e-05,7200.002727985382
32,32,2,2.997414429573602e-05,7200.005195140839
32,32,3,1.680140931414923e-05,7200.005047082901
32,32,4,1.5979503341926296e-05,7200.011846065521
32,32,5,6.567255881472236e-05,4431.901832103729
32,32,6,2.3452874304505857e-05,6574.953222036362
32,32,7,8.464439962364831e-06,7200.001962900162
32,32,8,2.625754118271556e-05,7200.001026153564
32,32,9,4.685192781843093e-05,3774.681460857392
32,32,10,2.643014142958653e-05,5899.524342060089
