m,n,instance_number,primal_infeasibility,time_full
10,10,1,3.8163916471489756e-16,5.642436027526856
10,10,2,0.0002347031483718,1.745877981185913
10,10,3,5.5827343745383536e-05,1.7745909690856934
10,10,4,9.863889322524189e-09,5.367543935775757
10,10,5,4.6712838850736265e-05,3.88983416557312
10,10,6,7.155518667911452e-05,4.315984964370728
10,10,7,8.65607216868494e-05,1.1920220851898191
10,10,8,6.548093965146363e-05,2.0743749141693115
10,10,9,3.2975447576299674e-05,2.3130459785461426
10,10,10,1.8989146175116357e-05,2.2839479446411133
17,17,1,1.9804434108465195e-06,67.50003910064697
17,17,2,7.17491386775547e-05,47.77102494239807
17,17,3,5.265223186597244e-05,90.74465107917786
17,17,4,3.847481909579584e-05,75.72816705703735
17,17,5,3.7424847540698586e-05,92.25621390342712
17,17,6,2.071083000679086e-05,105.19661116600037
17,17,7,1.5098770061230124e-06,80.01699805259705
17,17,8,4.407788695297592e-05,97.26956295967102
17,17,9,5.937881035511367e-05,59.53323721885681
17,17,10,2.621396753921443e-05,87.01051092147827
32,32,1,7.923006217715862e-06,7200.006814002991
32,32,2,1.4656921458875425e-05,7200.001725196838
32,32,3,1.680140931414923e-05,7200.004166126251
32,32,4,1.5979503341926296e-05,7200.006822109222
32,32,5,3.394274050755234e-05,5469.4335350990295
32,32,6,2.534053409783157e-05,4593.90163898468
32,32,7,8.464439962364831e-06,7200.002700090408
32,32,8,2.1501855606099747e-05,7200.001317977905
32,32,9,4.126545559256172e-05,3680.343950033188
32,32,10,2.643014142958653e-05,5307.550884962082
