m,n,instance_number,primal_infeasibility,time_full
10000,10000,1,0.0001178463465569,7200.122348070145
10000,10000,2,0.0001023112634192,7200.715862989426
10000,10000,3,0.0001,7200.898957967758
10000,10000,4,0.0001995279768401,7200.776959896088
10000,10000,5,0.0001774774622062,7200.362197875977
10000,10000,6,0.000109894890648,7200.825481891632
10000,10000,7,0.0001157379971817,7200.005764007568
10000,10000,8,0.0001093967091185,7200.835476160049
10000,10000,9,0.0001578244221108,7200.127305984497
10000,10000,10,0.0001605094271886,7200.160121202469
