m,n,instance_number,primal_infeasibility,time_full,gap
10,10,1,3.694961003830599e-16,6.727873802185059,0.000184068284264
10,10,2,1.4235779077558734e-05,1.7201430797576904,0.0007933547607433
10,10,3,0.0001677534114617,1.8848719596862795,0.0010003095273733
10,10,4,3.249797032262112e-07,4.720607042312622,0.0004156077354205
10,10,5,7.221116717202056e-05,1.193302869796753,0.0013302529957927
10,10,6,7.155518667911452e-05,5.125990867614746,0.0040074027103986
10,10,7,8.65607216868494e-05,1.2960388660430908,0.0024009215675467
10,10,8,6.548093965146363e-05,1.8096168041229248,0.0003067892340938
10,10,9,0.0001704572061124,0.8125247955322266,0.0008307445071831
10,10,10,4.45464267187657e-05,2.441017866134644,0.0028512823047805
17,17,1,1.9804434108465195e-06,72.25319480895996,0.0007325459344868
17,17,2,0.0001000882941675,42.94369411468506,0.0017405000882312
17,17,3,7.971770706849776e-05,72.35375499725342,0.0008805379371824
17,17,4,9.274871486695128e-05,58.64579391479492,0.0015389767720454
17,17,5,6.767312354253602e-05,84.91253590583801,0.0021455732191916
17,17,6,2.071083000679086e-05,118.82751607894896,0.0010477541346518
17,17,7,1.748227516375732e-07,112.15927600860596,0.000537381008071
17,17,8,0.0001169984787357,54.11081099510193,0.0006516001452501
17,17,9,0.0001411992667772,38.50106120109558,0.0019833273837213
17,17,10,0.0001306121553541,47.4409019947052,0.0019383814691236
32,32,1,1.2963551795671797e-05,7200.002727985382,0.0048092599954884
32,32,2,2.997414429573602e-05,7200.005195140839,1.6313333268640557e-05
32,32,3,1.680140931414923e-05,7200.005047082901,0.0182029825039542
32,32,4,1.5979503341926296e-05,7200.011846065521,1.489123277402971e-05
32,32,5,6.567255881472236e-05,4431.901832103729,0.0010342121299443
32,32,6,2.3452874304505857e-05,6574.953222036362,0.0012264396905532
32,32,7,8.464439962364831e-06,7200.001962900162,0.0010647857048864
32,32,8,2.625754118271556e-05,7200.001026153564,0.006481817938115
32,32,9,4.685192781843093e-05,3774.681460857392,0.001188400772522
32,32,10,2.643014142958653e-05,5899.524342060089,0.0003380445240374
55,55,1,0.0002830612284074,7200.107159852982,0.0739662969477372
55,55,2,0.0003522262122825,7200.0166120529175,0.073843727426758
55,55,3,0.0002588057006034,7200.091107130051,0.0776176637569256
55,55,4,0.000298480562787,7200.068964004517,0.0109747158777745
55,55,5,0.0003431570653243,7200.017402172089,0.0122940766954102
55,55,6,0.0002529415200691,7200.089632034302,0.0730415431059867
55,55,7,0.0003246677055773,7200.052033901215,0.0118659728615412
55,55,8,0.000264282587447,7200.048588037491,0.0370129718952354
55,55,9,0.0002723587740039,7200.088668107986,0.0311237785019408
55,55,10,0.0002182910981647,7200.291991949081,0.2260301849726077
100,100,1,0.0005469482742513,7200.128126144409,0.0069479073193604
100,100,2,0.0005087959069697,7200.421283960342,0.7476214741842608
100,100,3,0.0005221182827345,7200.362529039383,0.7994828394080905
100,100,4,0.0004931291346266,7200.369462013245,0.7443153958488925
100,100,5,0.0005402738309956,7200.170902013779,0.7046965683193565
100,100,6,0.0005018418653825,7200.950037002564,0.8127364673595056
100,100,7,0.0003833973332835,7200.272587060928,0.4093955390386116
100,100,8,0.0005110245776935,7200.128186941147,0.836719080474001
100,100,9,0.000503853140509,7200.260083913803,0.2707833910213011
100,100,10,0.0005057589221126,7200.298274040222,0.2367793727434002
