m,n,instance_number,primal_infeasibility,time_full
3000,3000,1,0.0003333333333333,7200.02729010582
3000,3000,2,0.0001245809185913,7200.057523012161
3000,3000,3,0.0003333333333333,7200.082298994064
3000,3000,4,7.445096380697319e-05,7200.000429153442
3000,3000,5,0.0003333333333333,7200.0053498744965
3000,3000,6,0.0003333333333333,7200.041409015656
3000,3000,7,0.0003692292442872,7200.016803026199
3000,3000,8,5.595655621860711e-05,7200.356802940369
3000,3000,9,6.908768024125141e-05,7200.321229219437
3000,3000,10,4.101587477813121e-05,7200.012305021286
