m,n,instance_number,gap
100,100,1,0.19335612687768536
100,100,2,0.5306707257335825
100,100,3,0.15810272056851332
100,100,4,0.16029269255794734
100,100,5,0.20494928018394265
100,100,6,0.21129333053569355
100,100,7,0.37009644692354726
100,100,8,0.2080064552965612
100,100,9,0.1518292990149404
100,100,10,0.4464839148646587
300,300,1,0.40779644012187927
300,300,2,0.5109625771140117
300,300,3,0.28506730560461485
300,300,4,0.276308521159392
300,300,5,0.4534976886208511
300,300,6,0.2364550264745653
300,300,7,0.3424379476186715
300,300,8,0.2352344351769922
300,300,9,0.40541555821699515
300,300,10,0.21014799232304696
1000,1000,1,0.7026494394469738
1000,1000,2,0.6223639563430526
1000,1000,3,0.3712231652253217
1000,1000,4,0.3798895678873249
1000,1000,5,0.46728190325364855
1000,1000,6,0.17034124659522848
1000,1000,7,0.3891338873922783
1000,1000,8,0.3551459851293982
1000,1000,9,0.6091341060813884
1000,1000,10,0.6081285661099435
3000,3000,1,0.0991084014036989
3000,3000,2,0.08811682663919825
3000,3000,3,0.2532419923035867
3000,3000,4,0.03585120390339892
3000,3000,5,0.5263746360335526
3000,3000,6,0.24852366445784835
3000,3000,7,1.9110540512714322
3000,3000,8,1.2634997245274302
3000,3000,9,0.8275057379356074
3000,3000,10,0.6740743111926292
10000,10000,1,0.16444691801484168
10000,10000,2,0.5556508027757383
10000,10000,3,0.43985297449756494
10000,10000,4,0.06289315526577145
10000,10000,5,0.16931652963293772
10000,10000,6,0.2615942467907265
10000,10000,7,0.24188089069437368
10000,10000,8,0.19772747359898296
10000,10000,9,0.7092960466371675
10000,10000,10,0.7503903493234371
