m,n,instance_number,primal_infeasibility,time_full
55,55,1,0.0002815132608047,7200.007593870163
55,55,2,0.0003317032255022,7200.093542814255
55,55,3,0.0002588057006034,7200.0128428936005
55,55,4,0.0002779491037322,7200.069636106491
55,55,5,0.0003189363727906,7200.027080059052
55,55,6,0.0002175444413182,7200.021561145783
55,55,7,0.0002710851309327,7200.057326078415
55,55,8,0.0002382893774876,7200.057324886322
55,55,9,0.0002723587740039,7200.032790184021
55,55,10,0.0002182910981647,7200.021316051483
