m,n,instance_number,primal_infeasibility,time_full
10000,10000,1,0.0001135696509553,7200.268190145493
10000,10000,2,0.0001018887478591,7200.876806974411
10000,10000,3,0.000112650818071,7200.914369106293
10000,10000,4,0.0002263539739927,7200.134954929352
10000,10000,5,0.0001738822591054,7200.49559211731
10000,10000,6,0.0001,7200.152500867844
10000,10000,7,0.0001749592218384,7200.6204578876495
10000,10000,8,0.0001052279446071,7200.934905052185
10000,10000,9,0.0001493378886425,7200.62912607193
10000,10000,10,0.0001900860568196,7200.95560002327
