m,n,instance_number,primal_infeasibility,time_full
55,55,1,0.0002830612284074,7200.107159852982
55,55,2,0.0003522262122825,7200.0166120529175
55,55,3,0.0002588057006034,7200.091107130051
55,55,4,0.000298480562787,7200.068964004517
55,55,5,0.0003431570653243,7200.017402172089
55,55,6,0.0002529415200691,7200.089632034302
55,55,7,0.0003246677055773,7200.052033901215
55,55,8,0.000264282587447,7200.048588037491
55,55,9,0.0002723587740039,7200.088668107986
55,55,10,0.0002182910981647,7200.291991949081
