m,n,instance_number,primal_infeasibility,time_full
100,100,1,0.0005469482742513,7200.128126144409
100,100,2,0.0005087959069697,7200.421283960342
100,100,3,0.0005221182827345,7200.362529039383
100,100,4,0.0004931291346266,7200.369462013245
100,100,5,0.0005402738309956,7200.170902013779
100,100,6,0.0005018418653825,7200.950037002564
100,100,7,0.0003833973332835,7200.272587060928
100,100,8,0.0005110245776935,7200.128186941147
100,100,9,0.000503853140509,7200.260083913803
100,100,10,0.0005057589221126,7200.298274040222
