m,n,instance_number,primal_infeasibility,time_full
100,100,1,0.0005577857122631,7200.199551105499
100,100,2,0.0005554928511209,7200.576730012894
100,100,3,0.0005587671902911,7200.040503978729
100,100,4,0.000563501728644,7200.34527182579
100,100,5,0.0006052099914117,7200.642054080963
100,100,6,0.0005484687990134,7200.348922014236
100,100,7,0.0003845080089684,7200.332590103149
100,100,8,0.0004648421527066,7200.496121883392
100,100,9,0.0005265392021714,7200.84278512001
100,100,10,0.0005521941827515,7200.109715938568
