m,n,instance_number,gap
10,10,1,0.00018406828426129743
10,10,2,0.003610947432126553
10,10,3,0.00032495120520466015
10,10,4,0.00041640160389264005
10,10,5,0.0002670288982947335
10,10,6,0.003998934162520897
10,10,7,0.001910229416720598
10,10,8,0.0002955443810830565
10,10,9,8.140359343269619e-05
10,10,10,0.0015783567561593592
17,17,1,0.0007334750891604336
17,17,2,0.0009396278196942537
17,17,3,0.0006811980081757615
17,17,4,0.0007280403452790845
17,17,5,0.0018782962715540848
17,17,6,0.0012662237402434006
17,17,7,0.0011608896414712342
17,17,8,0.0002086033861223997
17,17,9,0.00040706908243348
17,17,10,0.0008684226169097376
32,32,1,0.001114648913234344
32,32,2,8.728846136047126e-06
32,32,3,6.710117209793912e-05
32,32,4,0.005182748551759794
32,32,5,0.0005566209817203477
32,32,6,0.003631364131941951
32,32,7,0.0010038366759226663
32,32,8,0.006486919963363829
32,32,9,0.0009100891628661847
32,32,10,0.0003381873591943947
55,55,1,0.018257146731473373
55,55,2,0.07285096434561802
55,55,3,0.03139374392796504
55,55,4,0.007249148545986029
55,55,5,0.014935634317326984
55,55,6,0.060038412862971124
55,55,7,0.008258980620387593
55,55,8,0.028036571230161716
55,55,9,0.015959880376993
55,55,10,0.21630967769793177
100,100,1,0.9038964760167603
100,100,2,0.21923140154690182
100,100,3,0.1378851445614907
100,100,4,0.2172924460920069
100,100,5,0.21107681739309542
100,100,6,0.18639244196131202
100,100,7,0.06593817901789843
100,100,8,0.17313083042104144
100,100,9,0.6549878144132171
100,100,10,0.8758112090081643
