m,n,instance_number,primal_infeasibility,time_full
3000,3000,1,0.0003333333333333,7200.049856901169
3000,3000,2,4.1642385745649065e-05,7200.040653944016
3000,3000,3,0.0003333333333333,7200.045037031174
3000,3000,4,6.763877970760021e-05,7200.032975912094
3000,3000,5,0.0003333333333333,7200.057543992996
3000,3000,6,0.0003333333333333,7200.040720939636
3000,3000,7,0.0003333333333333,7200.039324998856
3000,3000,8,6.571058987984844e-05,7200.077054977417
3000,3000,9,5.653923531350808e-05,7200.037964105606
3000,3000,10,3.043121258864144e-05,7200.083923101425
