m,n,instance_number,primal_infeasibility,time_full,gap
100,100,1,1.2569561042936536e-05,0.315864086151123,0.1933561268776853
100,100,2,7.273262326808194e-06,0.4265000820159912,0.5306707257335825
100,100,3,1.1295889259162542e-05,0.4276010990142822,0.1581027205685133
100,100,4,1.365597797590122e-05,0.4525308609008789,0.1602926925579473
100,100,5,5.337688930826673e-06,0.3997421264648437,0.2049492801839426
100,100,6,8.726969195297501e-06,0.4169321060180664,0.2112933305356935
100,100,7,1.108025895823518e-05,0.3989019393920898,0.3700964469235472
100,100,8,1.264305054415188e-05,0.3217339515686035,0.2080064552965612
100,100,9,8.410597539146997e-06,0.3909518718719482,0.1518292990149404
100,100,10,1.2323201834424022e-05,0.3568899631500244,0.4464839148646587
300,300,1,1.466813687342472e-05,5.180747985839844,0.4077964401218792
300,300,2,1.648378481967352e-05,4.824082136154175,0.5109625771140117
300,300,3,1.2985889050190751e-05,5.902405023574829,0.2850673056046148
300,300,4,1.4715055250499268e-05,5.514535903930664,0.2792486155675424
300,300,5,1.5968778761441937e-05,4.653312921524048,0.4534976886208511
300,300,6,2.1623064322305423e-05,5.352612018585205,0.2364550264745653
300,300,7,1.602984020136972e-05,5.339686870574951,0.3424379476186715
300,300,8,1.571750516559875e-05,7.393167018890381,0.2352344351769922
300,300,9,1.4528242282131188e-05,5.4732887744903564,0.4054155582169951
300,300,10,2.045905613141204e-05,5.863564014434815,0.2101479923230469
1000,1000,1,1.1419469439220929e-05,239.80416584014893,0.7056639577063816
1000,1000,2,0.0001426596290639,293.12652611732483,0.6279441463457487
1000,1000,3,9.169282435505384e-06,208.6619110107422,0.3890264801365127
1000,1000,4,1.3023668052792583e-05,403.72943902015686,0.3906764697734073
1000,1000,5,2.029939286772261e-05,533.7203109264374,0.4477512581498494
1000,1000,6,7.794945123401576e-05,401.1304590702057,0.1507637651740049
1000,1000,7,3.097324992507912e-05,286.09221386909485,0.372103324954872
1000,1000,8,7.901925083302465e-05,389.7820549011231,0.293473716828081
1000,1000,9,0.0001225373791787,313.8870429992676,0.5807007618138834
1000,1000,10,1.645708683209392e-05,330.2650558948517,0.6208853134261824
3000,3000,1,0.0003333333333333,7200.049856901169,0.3532048094996554
3000,3000,2,4.1642385745649065e-05,7200.040653944016,0.9261082533942356
3000,3000,3,0.0003333333333333,7200.045037031174,0.6696113226731704
3000,3000,4,6.763877970760021e-05,7200.032975912094,0.0319983160463642
3000,3000,5,0.0003333333333333,7200.057543992996,0.1423031528470222
3000,3000,6,0.0003333333333333,7200.040720939636,0.120353612110709
3000,3000,7,0.0003333333333333,7200.039324998856,0.662596847179151
3000,3000,8,6.571058987984844e-05,7200.077054977417,0.0115239789542301
3000,3000,9,5.653923531350808e-05,7200.037964105606,0.0493559651972892
3000,3000,10,3.043121258864144e-05,7200.083923101425,0.131517654211147
10000,10000,1,0.0001178463465569,7200.122348070145,0.0195685750234195
10000,10000,2,0.0001023112634192,7200.715862989426,0.0090246819906107
10000,10000,3,0.0001,7200.898957967758,0.0322337663500649
10000,10000,4,0.0001995279768401,7200.776959896088,0.0096790629285484
10000,10000,5,0.0001774774622062,7200.362197875977,0.1203887152012095
10000,10000,6,0.000109894890648,7200.825481891632,0.2773938232253097
10000,10000,7,0.0001157379971817,7200.005764007568,0.0986777007445515
10000,10000,8,0.0001093967091185,7200.835476160049,0.3376670234992199
10000,10000,9,0.0001578244221108,7200.127305984497,0.401866520484777
10000,10000,10,0.0001605094271886,7200.160121202469,0.460022318141615
